,shares
0,511
1,1200
2,1400
3,1300
4,3200
5,4300
6,2300
7,900
8,1100
9,882
10,2300
11,5800
12,1300
13,985
14,1700
15,5900
16,8000
17,1300
18,1600
19,1200
20,2100
21,467
22,542
23,447
24,3600
25,16900
26,3100
27,815
28,693
29,3900
30,1200
31,26800
32,699
33,1300
34,1600
35,922
36,4000
37,2500
38,770
39,756
40,4300
41,679
42,811
43,1000
44,893
45,1900
46,1200
47,16500
48,1000
49,642
50,792
51,928
52,17400
53,2900
54,918
55,1300
56,819
57,1600
58,498
59,1500
60,1700
61,15900
62,867
63,407
64,9100
65,1200
66,2500
67,3100
68,20700
69,1800
70,518
71,1600
72,1100
73,2600
74,50200
75,1700
76,885
77,1200
78,484
79,2100
80,3400
81,4400
82,1800
83,1700
84,1400
85,1900
86,3300
87,8400
88,1000
89,898
90,318
91,2400
92,1300
93,860
94,926
95,5200
96,1700
97,3700
98,860
99,1600
100,2400
101,4700
102,2900
103,812
104,12200
105,3100
106,1500
107,847
108,422
109,1100
110,891
111,1500
112,1300
113,799
114,53700
115,2200
116,1600
117,2400
118,1200
119,1600
120,10500
121,1700
122,444
123,3900
124,1600
125,1900
126,1100
127,1200
128,533
129,5000
130,3800
131,886
132,1200
133,8500
134,1500
135,45400
136,3600
137,1100
138,725
139,1100
140,7600
141,2700
142,1600
143,910
144,693
145,1400
146,765
147,2300
148,2300
149,907
150,3900
151,3200
152,1500
153,510
154,666
155,1500
156,1600
157,4500
158,1600
159,2700
160,399
161,556
162,7200
163,6700
164,2000
165,2300
166,1600
167,773
168,770
169,2500
170,2600
171,1100
172,2100
173,1400
174,1100
175,2600
176,4700
177,1100
178,889
179,6200
180,233
181,1600
182,1200
183,1100
184,1100
185,1300
186,648
187,18900
188,7700
189,2200
190,3600
191,1400
192,1500
193,3200
194,6200
195,1700
196,5200
197,1600
198,996
199,1700
200,969
201,1000
202,4300
203,2400
204,4000
205,910
206,8200
207,931
208,3800
209,731
210,798
211,1100
212,871
213,2900
214,2000
215,154
216,4500
217,774
218,983
219,4700
220,1000
221,673
222,1200
223,1300
224,1300
225,5300
226,3800
227,264
228,2000
229,1400
230,1100
231,2100
232,1400
233,859
234,1100
235,1900
236,553
237,1500
238,23600
239,693
240,1800
241,846
242,1500
243,1700
244,510
245,221
246,3700
247,8000
248,1100
249,888
250,1000
251,2400
252,1400
253,1400
254,6800
255,34800
256,704
257,1600
258,972
259,2000
260,3200
261,1800
262,685
263,1500
264,22000
265,5200
266,4100
267,3400
268,906
269,644
270,12700
271,832
272,899
273,585
274,1500
275,733
276,2500
277,952
278,6900
279,1300
280,7900
281,1200
282,1400
283,1200
284,1900
285,1100
286,2100
287,751
288,300
289,1800
290,1600
291,693
292,2900
293,6200
294,4300
295,928
296,896
297,1000
298,945
299,981
300,2500
301,1200
302,1400
303,633
304,2300
305,1700
306,3800
307,1200
308,1600
309,1400
310,3600
311,4200
312,1800
313,706
314,2000
315,1400
316,1900
317,2000
318,945
319,850
320,1700
321,832
322,872
323,1600
324,1200
325,498
326,1100
327,569
328,12300
329,3100
330,11600
331,874
332,1200
333,984
334,8900
335,2800
336,1500
337,859
338,1300
339,1200
340,1200
341,1300
342,1800
343,3600
344,1500
345,1400
346,655
347,1100
348,1800
349,23000
350,1700
351,579
352,1700
353,1900
354,2100
355,754
356,1300
357,762
358,21000
359,540
360,964
361,1400
362,904
363,1800
364,1400
365,178
366,929
367,1300
368,9500
369,1200
370,18000
371,5500
372,827
373,767
374,2900
375,1700
376,4600
377,2300
378,2000
379,2300
380,3100
381,1200
382,1300
383,695
384,1300
385,112
386,955
387,2300
388,5100
389,640
390,2600
391,1500
392,994
393,1600
394,1800
395,736
396,2200
397,1900
398,1800
399,2400
400,4000
401,1000
402,775
403,6500
404,1200
405,4700
406,476
407,1300
408,1000
409,533
410,933
411,1500
412,1100
413,3100
414,1100
415,6500
416,2000
417,1200
418,832
419,1200
420,1300
421,975
422,737
423,920
424,20400
425,702
426,527
427,1600
428,123
429,14800
430,1400
431,970
432,2200
433,1400
434,2700
435,1600
436,735
437,593
438,2000
439,2900
440,1300
441,4200
442,1400
443,1200
444,3500
445,1500
446,1100
447,2600
448,3800
449,2400
450,1700
451,4700
452,948
453,689
454,1800
455,857
456,1300
457,4000
458,901
459,4100
460,1500
461,10900
462,1400
463,1700
464,944
465,1400
466,959
467,896
468,4400
469,1700
470,1200
471,475
472,7200
473,2300
474,4000
475,5200
476,629
477,587
478,3800
479,137
480,1600
481,1100
482,1100
483,1200
484,1700
485,6000
486,2800
487,1300
488,808
489,2300
490,1400
491,5700
492,15600
493,1300
494,609
495,410
496,1300
497,2400
498,1200
499,818
500,3800
501,846
502,1500
503,1700
504,1900
505,1000
506,960
507,1800
508,10000
509,2700
510,934
511,1100
512,1300
513,769
514,862
515,801
516,867
517,744
518,901
519,4100
520,1500
521,441
522,14200
523,1600
524,1800
525,695
526,879
527,1700
528,2000
529,15200
530,1500
531,1100
532,5800
533,604
534,556
535,2100
536,1700
537,1400
538,972
539,960
540,1200
541,873
542,4900
543,2100
544,501
545,1300
546,741
547,1000
548,1800
549,1100
550,1700
551,4400
552,840
553,6000
554,3600
555,530
556,547
557,1100
558,744
559,867
560,444
561,518
562,5200
563,960
564,6500
565,1400
566,1400
567,1100
568,2000
569,2700
570,3400
571,974
572,731
573,943
574,735
575,4400
576,1000
577,1100
578,7700
579,3300
580,837
581,2100
582,6200
583,12700
584,1500
585,54
586,880
587,3000
588,1900
589,2600
590,1700
591,4000
592,1200
593,3000
594,6600
595,21000
596,1300
597,2000
598,1300
599,1300
600,881
601,844
602,2400
603,14100
604,2800
605,601
606,1100
607,1300
608,536
609,1500
610,2000
611,1100
612,827
613,757
614,720
615,1200
616,10600
617,5100
618,460
619,3200
620,448
621,3000
622,1600
623,476
624,931
625,2400
626,1000
627,1100
628,805
629,773
630,1700
631,1900
632,1200
633,792
634,1900
635,1500
636,1400
637,671
638,4900
639,1500
640,594
641,1400
642,1400
643,3800
644,1600
645,2500
646,2700
647,898
648,816
649,1600
650,1400
651,6500
652,3400
653,3600
654,1200
655,1200
656,1400
657,423
658,1400
659,1400
660,1300
661,1000
662,842
663,2800
664,523
665,7100
666,4300
667,5200
668,3500
669,818
670,812
671,295
672,6200
673,850
674,17000
675,471
676,1100
677,1300
678,2000
679,2700
680,3200
681,2300
682,8500
683,680
684,1800
685,3800
686,3700
687,1900
688,955
689,712
690,1800
691,984
692,2300
693,2100
694,1200
695,4600
696,10400
697,964
698,758
699,745
700,847
701,1400
702,769
703,1500
704,1600
705,1500
706,1400
707,5100
708,2700
709,841
710,1800
711,1400
712,2500
713,1700
714,9600
715,918
716,1000
717,2500
718,3300
719,820
720,2400
721,685
722,6800
723,903
724,2600
725,859
726,1100
727,885
728,5100
729,1200
730,2600
731,1500
732,867
733,2900
734,6000
735,1700
736,2800
737,2800
738,474
739,1900
740,1200
741,1200
742,60300
743,2600
744,2000
745,2100
746,710
747,15800
748,3700
749,922
750,1800
751,3100
752,987
753,2300
754,1000
755,1100
756,1300
757,969
758,1300
759,762
760,1900
761,2900
762,928
763,1600
764,833
765,1300
766,2500
767,1100
768,4200
769,1300
770,12800
771,5300
772,1400
773,1700
774,869
775,1600
776,5400
777,18600
778,2200
779,14800
780,2900
781,1900
782,4000
783,2500
784,1200
785,4100
786,4700
787,877
788,4800
789,1100
790,1100
791,3200
792,2400
793,3400
794,56500
795,1800
796,1200
797,1000
798,1600
799,2800
800,1800
801,1600
802,2100
803,888
804,16900
805,559
806,586
807,1300
808,797
809,1000
810,1200
811,676
812,1600
813,1200
814,12200
815,642
816,1400
817,7400
818,1000
819,3200
820,5000
821,920
822,8100
823,1100
824,1200
825,3600
826,2800
827,631
828,1100
829,8800
830,8800
831,8600
832,478
833,3100
834,531
835,12000
836,821
837,4600
838,2700
839,1300
840,4700
841,1000
842,53100
843,14400
844,1600
845,1700
846,883
847,1400
848,2700
849,83300
850,1600
851,1800
852,735
853,1700
854,826
855,830
856,1500
857,1400
858,1200
859,7400
860,3200
861,1700
862,914
863,1700
864,1000
865,1100
866,664
867,700
868,3600
869,910
870,650
871,2100
872,982
873,3900
874,847
875,755
876,755
877,5500
878,2300
879,11800
880,2900
881,1700
882,3600
883,1200
884,4800
885,39900
886,3000
887,1200
888,622
889,698
890,615
891,594
892,1300
893,1700
894,3100
895,2000
896,788
897,16700
898,1800
899,1000
900,2200
901,4500
902,887
903,8600
904,941
905,939
906,6700
907,3300
908,1400
909,3500
910,7700
911,1200
912,1100
913,1600
914,1400
915,1400
916,1700
917,2600
918,2200
919,2700
920,25100
921,429
922,707
923,984
924,509
925,941
926,5700
927,11400
928,1000
929,1300
930,963
931,1100
932,145500
933,1400
934,963
935,11300
936,783
937,2100
938,1300
939,2500
940,9200
941,872
942,762
943,6500
944,778
945,2100
946,1100
947,1700
948,2900
949,1100
950,942
951,804
952,725
953,1400
954,2400
955,762
956,747
957,524
958,3200
959,1100
960,906
961,2000
962,20300
963,1200
964,2100
965,5600
966,1200
967,1100
968,1200
969,3400
970,571
971,766
972,337
973,779
974,868
975,471
976,3500
977,1000
978,477
979,1900
980,3800
981,1500
982,1200
983,2700
984,528
985,780
986,1400
987,629
988,3900
989,1500
990,1000
991,5400
992,1600
993,1500
994,1500
995,1600
996,2700
997,729
998,6000
999,10200
1000,2600
1001,777
1002,1200
1003,1800
1004,1600
1005,4900
1006,2400
1007,4100
1008,2100
1009,1200
1010,4600
1011,3000
1012,2300
1013,1100
1014,1200
1015,13800
1016,1700
1017,937
1018,1200
1019,1300
1020,6200
1021,6900
1022,814
1023,1400
1024,1400
1025,2000
1026,4900
1027,2000
1028,1100
1029,1600
1030,982
1031,5500
1032,4100
1033,1200
1034,842
1035,4600
1036,1400
1037,1900
1038,993
1039,922
1040,3100
1041,1900
1042,1800
1043,936
1044,8500
1045,3700
1046,936
1047,1800
1048,991
1049,734
1050,2800
1051,3300
1052,1300
1053,1800
1054,5000
1055,1200
1056,522
1057,2900
1058,847
1059,1300
1060,1100
1061,856
1062,7400
1063,611
1064,1100
1065,1600
1066,539
1067,5700
1068,53100
1069,1300
1070,1100
1071,2000
1072,2600
1073,1500
1074,1600
1075,1100
1076,541
1077,731
1078,1900
1079,200
1080,879
1081,1500
1082,1500
1083,1600
1084,3100
1085,759
1086,2200
1087,1900
1088,587
1089,1800
1090,567
1091,5400
1092,7900
1093,577
1094,1200
1095,1700
1096,3400
1097,636
1098,3600
1099,769
1100,954
1101,6700
1102,1100
1103,6000
1104,976
1105,2900
1106,1600
1107,1100
1108,4500
1109,924
1110,986
1111,770
1112,6700
1113,885
1114,1500
1115,898
1116,1100
1117,800
1118,1100
1119,1100
1120,683
1121,778
1122,2900
1123,751
1124,1200
1125,602
1126,10700
1127,676
1128,1500
1129,1500
1130,7600
1131,4700
1132,818
1133,2400
1134,4100
1135,5200
1136,558
1137,756
1138,1000
1139,3500
1140,1300
1141,1000
1142,1600
1143,5300
1144,1400
1145,655
1146,1800
1147,2400
1148,2400
1149,1100
1150,850
1151,714
1152,1800
1153,1000
1154,1000
1155,3600
1156,2600
1157,11400
1158,1100
1159,5300
1160,2300
1161,893
1162,720
1163,1600
1164,1200
1165,2400
1166,699
1167,1500
1168,236
1169,920
1170,784
1171,989
1172,1100
1173,3200
1174,851
1175,2500
1176,478
1177,1200
1178,1600
1179,1400
1180,1700
1181,848
1182,1100
1183,3100
1184,785
1185,23700
1186,1500
1187,3000
1188,4700
1189,2300
1190,900
1191,1900
1192,1700
1193,1100
1194,2100
1195,2800
1196,972
1197,8000
1198,1400
1199,3200
1200,1200
1201,4400
1202,2200
1203,807
1204,1100
1205,1500
1206,1000
1207,1100
1208,1200
1209,1500
1210,1900
1211,815
1212,1600
1213,3200
1214,660
1215,2000
1216,1800
1217,881
1218,752
1219,989
1220,943
1221,590
1222,812
1223,786
1224,834
1225,1900
1226,10900
1227,1100
1228,5400
1229,2500
1230,763
1231,7100
1232,977
1233,1600
1234,10600
1235,544
1236,1200
1237,1000
1238,856
1239,553
1240,800
1241,943
1242,18400
1243,14300
1244,1500
1245,6100
1246,1400
1247,4600
1248,556
1249,2200
1250,1000
1251,6600
1252,2500
1253,6500
1254,1200
1255,13000
1256,1200
1257,3500
1258,771
1259,964
1260,532
1261,8600
1262,1300
1263,7900
1264,1500
1265,936
1266,1000
1267,2000
1268,922
1269,1500
1270,10100
1271,2200
1272,1600
1273,7500
1274,1100
1275,894
1276,1300
1277,1300
1278,1200
1279,853
1280,1200
1281,2000
1282,20700
1283,2400
1284,1200
1285,7800
1286,3900
1287,2500
1288,818
1289,9200
1290,589
1291,1200
1292,1500
1293,766
1294,1700
1295,34700
1296,1500
1297,766
1298,10100
1299,4500
1300,1500
1301,1400
1302,2600
1303,801
1304,707
1305,1100
1306,724
1307,6600
1308,1000
1309,678
1310,1000
1311,817
1312,135
1313,98700
1314,1100
1315,1000
1316,2900
1317,903
1318,656
1319,3000
1320,457
1321,6000
1322,1000
1323,1100
1324,691
1325,1300
1326,3700
1327,3500
1328,8300
1329,16800
1330,14900
1331,1100
1332,648
1333,1600
1334,7000
1335,2900
1336,3200
1337,890
1338,5600
1339,5900
1340,576
1341,500
1342,652
1343,1900
1344,1000
1345,605
1346,10200
1347,3600
1348,25500
1349,4800
1350,540
1351,638
1352,1800
1353,1000
1354,809
1355,4900
1356,3000
1357,1700
1358,2800
1359,707
1360,2800
1361,577
1362,2700
1363,780
1364,720
1365,957
1366,1400
1367,5700
1368,934
1369,1200
1370,1000
1371,11800
1372,1900
1373,1900
1374,3300
1375,761
1376,1300
1377,11800
1378,859
1379,823
1380,11800
1381,54700
1382,737
1383,841
1384,4400
1385,1300
1386,697
1387,4200
1388,2900
1389,1900
1390,3800
1391,511
1392,935
1393,8100
1394,972
1395,1100
1396,622
1397,2000
1398,1400
1399,8600
1400,1200
1401,1000
1402,3000
1403,3600
1404,945
1405,2700
1406,526
1407,867
1408,970
1409,1900
1410,845
1411,862
1412,1600
1413,882
1414,1500
1415,1100
1416,543
1417,562
1418,3000
1419,950
1420,1700
1421,3400
1422,4400
1423,855
1424,886
1425,68300
1426,698
1427,857
1428,1300
1429,1200
1430,513
1431,1000
1432,1600
1433,3700
1434,1200
1435,1400
1436,1200
1437,1100
1438,3300
1439,4100
1440,2400
1441,798
1442,1500
1443,3400
1444,3300
1445,1200
1446,1400
1447,596
1448,913
1449,1900
1450,3100
1451,1400
1452,934
1453,3500
1454,802
1455,2100
1456,1300
1457,928
1458,1200
1459,856
1460,1400
1461,2200
1462,4300
1463,995
1464,497
1465,865
1466,396
1467,1300
1468,1400
1469,4200
1470,2400
1471,4900
1472,608
1473,644
1474,3400
1475,2300
1476,1300
1477,2100
1478,942
1479,3600
1480,802
1481,1400
1482,8300
1483,853
1484,843
1485,2100
1486,2200
1487,792
1488,650
1489,3200
1490,9000
1491,692
1492,813
1493,4200
1494,3000
1495,713
1496,8100
1497,721
1498,1300
1499,2400
1500,744
1501,7600
1502,2400
1503,688
1504,2200
1505,4100
1506,2700
1507,5700
1508,3500
1509,3600
1510,1700
1511,3000
1512,2200
1513,555
1514,2000
1515,1600
1516,1300
1517,1500
1518,402
1519,1300
1520,4900
1521,2100
1522,5300
1523,1500
1524,2700
1525,2600
1526,2100
1527,582
1528,12400
1529,1800
1530,3300
1531,1200
1532,10000
1533,880
1534,1300
1535,1300
1536,945
1537,970
1538,1500
1539,2000
1540,805
1541,682
1542,495
1543,1600
1544,585
1545,208300
1546,6200
1547,1100
1548,1100
1549,875
1550,1900
1551,14700
1552,1200
1553,1000
