,shares
0,467
1,447
2,498
3,407
4,484
5,318
6,422
7,444
8,399
9,233
10,154
11,264
12,221
13,300
14,498
15,178
16,112
17,476
18,123
19,475
20,137
21,410
22,441
23,444
24,54
25,460
26,448
27,476
28,423
29,295
30,471
31,474
32,478
33,429
34,337
35,471
36,477
37,200
38,236
39,478
40,135
41,457
42,497
43,396
44,402
45,495
46,469
47,374
48,474
49,473
50,475
51,358
52,35
53,471
54,449
55,431
56,36
57,286
58,444
59,391
60,156
61,497
62,474
63,89
64,43
65,491
66,475
67,469
68,402
69,430
70,377
71,226
72,454
73,413
74,151
75,425
76,473
77,481
78,467
79,473
80,412
81,217
82,380
83,83
84,430
85,370
86,409
87,414
88,452
89,322
90,404
91,448
92,468
93,482
94,473
95,294
96,492
97,429
98,399
99,433
100,202
101,138
102,456
103,82
104,256
105,484
106,465
107,436
108,455
109,429
110,426
111,262
112,141
113,485
114,250
115,168
116,341
117,302
118,411
119,472
120,448
121,413
122,486
123,417
124,478
125,196
126,423
127,165
128,49
129,384
130,383
131,286
132,496
133,258
134,98
135,491
136,395
137,386
138,490
139,287
140,425
141,474
142,447
143,464
144,372
145,432
146,420
147,486
148,395
149,426
150,162
151,473
152,422
153,218
154,458
155,407
156,139
157,277
158,241
159,488
160,176
161,490
162,475
163,486
164,158
165,468
166,469
167,80
168,485
169,485
170,426
171,440
172,458
173,330
174,45
175,484
176,5
177,478
178,76
179,404
180,438
181,469
182,496
183,309
184,483
185,308
186,478
187,324
188,466
189,439
190,231
191,406
192,375
193,447
194,368
195,444
196,451
197,261
198,128
199,462
200,434
201,436
202,438
203,440
204,238
205,454
206,489
207,382
208,187
209,435
210,262
211,375
212,494
213,480
214,78
215,70
216,431
217,220
218,448
219,407
220,405
221,251
222,482
223,434
224,417
225,64
226,420
227,119
228,471
229,455
230,425
231,110
232,489
233,232
234,488
235,339
236,427
237,445
238,464
239,452
240,93
241,458
242,342
243,109
244,296
245,470
246,462
247,447
248,462
249,311
250,477
251,448
252,423
253,411
254,453
255,497
256,446
257,395
258,413
259,354
260,488
261,398
262,380
263,437
264,390
265,143
266,473
267,491
268,474
269,470
270,447
271,241
272,477
273,368
274,492
275,398
276,495
277,58
278,475
279,191
280,478
281,478
282,299
283,460
284,184
285,434
286,483
287,456
288,498
289,308
290,486
291,442
292,390
293,454
294,385
295,435
296,464
297,412
298,343
299,348
300,356
301,221
302,410
303,492
304,416
305,103
306,440
307,421
308,441
309,435
310,415
311,491
312,497
313,47
314,425
315,471
316,402
317,224
318,459
319,497
320,488
321,495
322,386
323,457
324,28
325,486
326,221
327,378
328,266
329,474
330,451
331,463
332,381
333,432
334,70
335,22
336,445
337,429
338,82
339,88
340,361
341,85
342,44
343,437
344,245
345,415
346,396
347,332
348,494
349,493
350,495
351,496
352,476
353,369
354,452
355,399
356,200
357,384
358,432
359,469
360,160
361,473
362,410
363,463
364,413
365,436
366,473
367,488
368,423
369,469
370,412
371,376
372,477
373,462
374,368
375,471
376,369
377,361
378,87
379,417
380,495
381,435
382,358
383,478
384,165
385,438
386,91
387,456
388,468
389,415
390,490
391,435
392,455
393,469
394,63
395,294
396,393
397,232
398,496
399,421
400,459
401,450
402,412
403,496
404,224
405,449
406,112
407,492
408,439
409,237
410,494
411,403
412,123
413,498
414,449
415,428
416,80
417,144
418,461
419,461
420,460
421,488
422,480
423,499
424,456
425,475
426,438
427,479
428,279
429,437
430,356
431,968
432,1023
433,947
434,937
435,927
436,968
437,927
438,891
439,916
440,831
441,907
442,927
443,959
444,1010
445,1024
446,974
447,834
448,943
449,880
450,820
451,850
452,879
453,601
454,927
455,737
456,945
457,954
458,986
459,1057
460,983
461,1030
462,1055
463,1020
464,815
465,1200
466,1073
467,825
468,919
469,926
470,1021
471,1200
472,1013
473,1033
474,1100
475,829
476,911
477,937
478,843
479,808
480,1100
481,1023
482,1052
483,1017
484,947
485,644
486,1127
487,968
488,1100
489,897
490,889
491,885
492,934
493,891
494,693
495,1004
496,808
497,1100
498,862
499,986
500,926
501,1016
502,1100
503,935
504,1124
505,909
506,957
507,971
508,929
509,998
510,973
511,935
512,958
513,857
514,886
515,863
516,1300
517,681
518,970
519,882
520,617
521,781
522,966
523,975
524,825
525,931
526,755
527,701
528,938
529,848
530,973
531,922
532,841
533,1054
534,1100
535,1300
536,914
537,914
538,1054
539,1000
540,892
541,944
542,864
543,950
544,710
545,762
546,880
547,988
548,936
549,909
550,945
551,1200
552,963
553,1119
554,884
555,971
556,1031
557,753
558,891
559,946
560,1066
561,814
562,745
563,951
564,1112
565,1159
566,908
567,1159
568,651
569,927
570,943
571,1018
572,1047
573,917
574,956
575,938
576,876
577,1100
578,983
579,1300
580,689
581,927
582,1100
583,831
584,931
585,814
586,997
587,1106
588,1068
589,877
590,882
591,928
592,1184
593,1032
594,1000
595,980
596,1022
597,921
598,983
599,1040
600,988
601,1000
602,712
603,1044
604,926
605,894
606,1233
607,938
608,938
609,924
610,907
611,1087
612,947
613,941
614,736
615,797
616,914
617,886
618,959
619,881
620,1086
621,923
622,1000
623,1095
624,942
625,764
626,875
627,920
628,1007
629,1300
630,838
631,890
632,1052
633,926
634,1005
635,889
636,935
637,1100
638,888
639,1200
640,970
641,1020
642,877
643,1150
644,851
645,962
646,948
647,920
648,993
649,892
650,1050
651,1063
652,934
653,777
654,941
655,988
656,929
657,963
658,998
659,886
660,1200
661,777
662,938
663,940
664,896
665,964
666,1002
667,998
668,898
669,1300
670,901
671,911
672,775
673,947
674,1100
675,909
676,1150
677,875
678,918
679,836
680,793
681,957
682,738
683,952
684,985
685,927
686,971
687,949
688,965
689,997
690,802
691,950
692,852
693,821
694,1200
695,875
696,1039
697,847
698,912
699,947
700,914
701,1100
702,967
703,1053
704,994
705,1092
706,509
707,708
708,1000
709,920
710,928
711,1300
712,991
713,901
714,846
715,1000
716,931
717,882
718,746
719,1031
720,992
