,shares
0,467
1,447
2,498
3,407
4,484
5,318
6,422
7,444
8,399
9,233
10,154
11,264
12,221
13,300
14,498
15,178
16,112
17,476
18,123
19,475
20,137
21,410
22,441
23,444
24,54
25,460
26,448
27,476
28,423
29,295
30,471
31,474
32,478
33,429
34,337
35,471
36,477
37,200
38,236
39,478
40,135
41,457
42,497
43,396
44,402
45,495
46,469
47,374
48,474
49,473
50,475
51,358
52,35
53,471
54,449
55,431
56,36
57,286
58,444
59,391
60,156
61,497
62,474
63,89
64,43
65,491
66,475
67,469
68,402
69,430
70,377
71,226
72,454
73,413
74,151
75,425
76,473
77,481
78,467
79,473
80,412
81,217
82,380
83,83
84,430
85,370
86,409
87,414
88,452
89,322
90,404
91,448
92,468
93,482
94,473
95,294
96,492
97,429
98,399
99,433
100,202
101,138
102,456
103,82
104,256
105,484
106,465
107,436
108,455
109,429
110,426
111,262
112,141
113,485
114,250
115,168
116,341
117,302
118,411
119,472
120,448
121,413
122,486
123,417
124,478
125,196
126,423
127,165
128,49
129,384
130,383
131,286
132,496
133,258
134,98
135,491
136,395
137,386
138,490
139,287
140,425
141,474
142,447
143,464
144,372
145,432
146,420
147,486
148,395
149,426
150,162
151,473
152,422
153,218
154,458
155,407
156,139
157,277
158,241
159,488
160,176
161,490
162,475
163,486
164,158
165,468
166,469
167,80
168,485
169,485
170,426
171,440
172,458
173,330
174,45
175,484
176,5
177,478
178,76
179,404
180,438
181,469
182,496
183,309
184,483
185,308
186,478
187,324
188,466
189,439
190,231
191,406
192,375
193,447
194,368
195,444
196,451
197,261
198,128
199,462
200,434
201,436
202,438
203,440
204,238
205,454
206,489
207,382
208,187
209,435
210,262
211,375
212,494
213,480
214,78
215,70
216,431
217,220
218,448
219,407
220,405
221,251
222,482
223,434
224,417
225,64
226,420
227,119
228,471
229,455
230,425
231,110
232,489
233,232
234,488
235,339
236,427
237,445
238,464
239,452
240,93
241,458
242,342
243,109
244,296
245,470
246,462
247,447
248,462
249,311
250,477
251,448
252,423
253,411
254,453
255,497
256,446
257,395
258,413
259,354
260,488
261,398
262,380
263,437
264,390
265,143
266,473
267,491
268,474
269,470
270,447
271,241
272,477
273,368
274,492
275,398
276,495
277,58
278,475
279,191
280,478
281,478
282,299
283,460
284,184
285,434
286,483
287,456
288,498
289,308
290,486
291,442
292,390
293,454
294,385
295,435
296,464
297,412
298,343
299,348
300,356
301,221
302,410
303,492
304,416
305,103
306,440
307,421
308,441
309,435
310,415
311,491
312,497
313,47
314,425
315,471
316,402
317,224
318,459
319,497
320,488
321,495
322,386
323,457
324,28
325,486
326,221
327,378
328,266
329,474
330,451
331,463
332,381
333,432
334,70
335,22
336,445
337,429
338,82
339,88
340,361
341,85
342,44
343,437
344,245
345,415
346,396
347,332
348,494
349,493
350,495
351,496
352,476
353,369
354,452
355,399
356,200
357,384
358,432
359,469
360,160
361,473
362,410
363,463
364,413
365,436
366,473
367,488
368,423
369,469
370,412
371,376
372,477
373,462
374,368
375,471
376,369
377,361
378,87
379,417
380,495
381,435
382,358
383,478
384,165
385,438
386,91
387,456
388,468
389,415
390,490
391,435
392,455
393,469
394,63
395,294
396,393
397,232
398,496
399,421
400,459
401,450
402,412
403,496
404,224
405,449
406,112
407,492
408,439
409,237
410,494
411,403
412,123
413,498
414,449
415,428
416,80
417,144
418,461
419,461
420,460
421,488
422,480
423,499
424,456
425,475
426,438
427,479
428,279
429,437
430,356
431,1200
432,882
433,1200
434,699
435,811
436,1000
437,642
438,928
439,819
440,1200
441,518
442,860
443,812
444,533
445,1100
446,693
447,765
448,907
449,510
450,1100
451,1300
452,996
453,774
454,673
455,1300
456,693
457,846
458,510
459,1000
460,704
461,972
462,832
463,899
464,952
465,1300
466,693
467,850
468,1200
469,1200
470,1300
471,1300
472,1100
473,579
474,904
475,929
476,1200
477,827
478,640
479,1000
480,533
481,1100
482,702
483,527
484,970
485,593
486,1200
487,587
488,1100
489,609
490,1200
491,818
492,934
493,744
494,901
495,1100
496,604
497,1200
498,744
499,1100
500,974
501,731
502,1000
503,837
504,844
505,1100
506,536
507,1100
508,827
509,757
510,1000
511,792
512,671
513,594
514,812
515,850
516,1300
517,955
518,847
519,841
520,685
521,1100
522,885
523,987
524,1300
525,969
526,1300
527,869
528,1200
529,1100
530,1200
531,676
532,642
533,1000
534,1100
535,1200
536,1100
537,821
538,1300
539,826
540,830
541,914
542,847
543,755
544,622
545,698
546,594
547,1300
548,1000
549,984
550,872
551,804
552,1200
553,571
554,779
555,1200
556,780
557,629
558,729
559,1200
560,1100
561,814
562,982
563,842
564,993
565,922
566,936
567,1300
568,1100
569,1300
570,541
571,759
572,587
573,577
574,636
575,769
576,976
577,986
578,770
579,1100
580,800
581,683
582,818
583,558
584,655
585,714
586,720
587,920
588,784
589,989
590,1100
591,851
592,900
593,1100
594,1100
595,943
596,812
597,1000
598,856
599,964
600,1100
601,894
602,1200
603,801
604,1100
605,1000
606,1000
607,605
608,707
609,720
610,934
611,1200
612,737
613,1100
614,970
615,845
616,862
617,543
618,562
619,698
620,857
621,513
622,1200
623,913
624,1200
625,995
626,865
627,644
628,802
629,692
630,713
631,688
632,582
633,1300
634,585
635,1100
636,720
637,661
638,771
639,589
640,718
641,981
642,618
643,998
644,988
645,1100
646,663
647,787
648,1200
649,756
650,808
651,949
652,595
653,741
654,785
655,763
656,1000
657,725
658,873
659,1300
660,1200
661,1000
662,620
663,867
664,1000
665,990
666,768
667,659
668,1100
669,865
670,815
671,1000
672,708
673,687
674,790
675,1200
676,1100
677,761
678,606
679,761
680,1200
681,532
682,1300
683,583
684,1100
685,1300
686,713
687,822
688,888
689,1100
690,1200
691,1200
692,1100
693,1200
694,1300
695,1100
696,725
697,1100
698,983
699,1000
700,858
701,786
702,813
703,743
704,677
705,1100
706,1100
707,1300
708,848
709,982
710,920
711,957
712,807
713,1200
714,1100
715,1100
716,774
