,shares
0,484
1,407
2,154
3,444
4,467
5,233
6,498
7,422
8,318
9,475
10,264
11,221
12,498
13,447
14,410
15,300
16,178
17,399
18,112
19,476
20,123
21,417
22,137
23,441
24,444
25,54
26,460
27,448
28,476
29,423
30,295
31,471
32,474
33,478
34,429
35,337
36,471
37,477
38,200
39,236
40,478
41,135
42,457
43,497
44,396
45,402
46,495
47,469
48,374
49,474
50,473
51,475
52,358
53,35
54,471
55,449
56,431
57,36
58,474
59,286
60,444
61,391
62,156
63,497
64,89
65,43
66,491
67,475
68,469
69,402
70,430
71,377
72,226
73,454
74,413
75,151
76,425
77,473
78,481
79,467
80,473
81,412
82,217
83,380
84,83
85,430
86,220
87,370
88,409
89,414
90,452
91,322
92,404
93,448
94,468
95,482
96,473
97,294
98,492
99,429
100,399
101,433
102,202
103,138
104,456
105,82
106,256
107,484
108,465
109,436
110,455
111,429
112,426
113,262
114,141
115,485
116,250
117,168
118,341
119,302
120,411
121,472
122,448
123,413
124,486
125,478
126,196
127,423
128,165
129,49
130,384
131,383
132,286
133,496
134,258
135,98
136,491
137,395
138,386
139,490
140,287
141,425
142,474
143,447
144,464
145,372
146,432
147,420
148,486
149,395
150,426
151,162
152,473
153,422
154,218
155,458
156,407
157,139
158,277
159,241
160,488
161,176
162,490
163,475
164,486
165,158
166,468
167,469
168,80
169,485
170,485
171,426
172,440
173,458
174,330
175,45
176,484
177,5
178,478
179,76
180,404
181,448
182,438
183,469
184,496
185,309
186,483
187,308
188,478
189,324
190,466
191,439
192,231
193,406
194,375
195,447
196,368
197,444
198,451
199,261
200,128
201,462
202,434
203,436
204,438
205,440
206,238
207,454
208,489
209,382
210,187
211,435
212,262
213,375
214,494
215,480
216,78
217,70
218,431
219,407
220,405
221,251
222,482
223,434
224,417
225,64
226,420
227,119
228,471
229,455
230,425
231,110
232,489
233,232
234,488
235,339
236,427
237,445
238,464
239,452
240,93
241,458
242,342
243,109
244,296
245,470
246,462
247,447
248,462
249,311
250,477
251,448
252,423
253,411
254,453
255,497
256,446
257,395
258,413
259,354
260,488
261,398
262,380
263,437
264,390
265,143
266,473
267,491
268,474
269,470
270,447
271,241
272,477
273,368
274,492
275,398
276,495
277,58
278,475
279,191
280,478
281,437
282,478
283,299
284,460
285,184
286,434
287,483
288,456
289,498
290,308
291,486
292,442
293,390
294,454
295,385
296,435
297,464
298,412
299,343
300,348
301,356
302,221
303,410
304,492
305,416
306,103
307,440
308,421
309,441
310,435
311,415
312,491
313,497
314,47
315,425
316,471
317,402
318,224
319,459
320,497
321,488
322,495
323,386
324,457
325,28
326,486
327,221
328,378
329,266
330,474
331,451
332,463
333,381
334,432
335,70
336,22
337,445
338,429
339,82
340,88
341,361
342,85
343,44
344,437
345,245
346,415
347,396
348,332
349,494
350,493
351,495
352,496
353,476
354,369
355,452
356,399
357,200
358,384
359,432
360,469
361,160
362,473
363,410
364,463
365,413
366,436
367,473
368,488
369,423
370,469
371,412
372,376
373,477
374,462
375,368
376,471
377,369
378,361
379,87
380,417
381,495
382,435
383,358
384,478
385,165
386,438
387,91
388,456
389,468
390,415
391,490
392,435
393,455
394,469
395,63
396,294
397,279
398,393
399,232
400,496
401,421
402,459
403,450
404,412
405,496
406,224
407,449
408,112
409,492
410,356
411,439
412,237
413,494
414,403
415,123
416,498
417,449
418,428
419,80
420,144
421,461
422,461
423,460
424,488
425,480
426,499
427,456
428,475
429,438
430,479
431,545
432,598
433,711
434,1100
435,1200
436,593
437,1000
438,836
439,598
440,925
441,681
442,696
443,1100
444,710
445,802
446,693
447,791
448,653
449,999
450,703
451,982
452,732
453,715
454,732
455,714
456,1000
457,639
458,626
459,1200
460,1200
461,819
462,1300
463,783
464,868
465,590
466,888
467,691
468,1300
469,622
470,862
471,546
472,792
473,589
474,1100
475,519
476,644
477,1300
478,906
479,1000
480,745
481,766
482,1100
483,864
484,1100
485,1300
486,938
487,690
488,704
489,649
490,919
491,1200
492,670
493,1100
494,1000
495,736
496,765
497,1300
498,1200
499,535
500,611
501,993
502,1000
503,805
504,831
505,874
506,720
507,1000
508,1200
509,642
510,902
511,727
512,899
513,857
514,754
515,801
516,1100
517,983
518,944
519,729
520,1200
521,1100
522,747
523,555
524,1100
525,764
526,676
527,811
528,924
529,768
530,982
531,550
532,886
533,877
534,750
535,1200
536,1200
537,890
538,1100
539,1200
540,618
541,1100
542,854
543,616
544,802
545,882
546,954
547,974
548,889
549,936
550,657
551,673
552,976
553,920
554,973
555,1200
556,675
557,761
558,789
559,802
560,825
561,1100
562,854
563,1100
564,702
565,720
566,559
