,shares
0,467
1,447
2,498
3,407
4,484
5,318
6,422
7,444
8,399
9,154
10,264
11,221
12,300
13,178
14,112
15,476
16,123
17,475
18,137
19,410
20,441
21,444
22,54
23,460
24,448
25,476
26,423
27,295
28,471
29,474
30,478
31,429
32,337
33,471
34,477
35,236
36,478
37,135
38,457
39,497
40,402
41,495
42,374
43,474
44,473
45,475
46,358
47,35
48,471
49,449
50,431
51,36
52,286
53,444
54,391
55,156
56,497
57,474
58,89
59,43
60,491
61,475
62,469
63,402
64,430
65,377
66,226
67,454
68,413
69,151
70,425
71,473
72,467
73,473
74,217
75,380
76,83
77,430
78,370
79,409
80,414
81,452
82,322
83,404
84,448
85,468
86,482
87,473
88,294
89,492
90,399
91,433
92,202
93,138
94,456
95,82
96,256
97,484
98,465
99,436
100,455
101,429
102,426
103,262
104,141
105,485
106,250
107,341
108,302
109,411
110,472
111,448
112,413
113,486
114,417
115,478
116,196
117,423
118,165
119,49
120,384
121,383
122,258
123,98
124,491
125,395
126,386
127,490
128,287
129,425
130,447
131,464
132,420
133,486
134,395
135,426
136,162
137,473
138,422
139,218
140,458
141,139
142,277
143,241
144,488
145,176
146,490
147,475
148,158
149,468
150,469
151,80
152,485
153,485
154,426
155,440
156,458
157,330
158,45
159,484
160,5
161,478
162,76
163,438
164,469
165,496
166,309
167,483
168,308
169,478
170,324
171,466
172,439
173,231
174,406
175,375
176,447
177,368
178,444
179,451
180,261
181,128
182,434
183,436
184,438
185,440
186,238
187,489
188,382
189,187
190,435
191,262
192,375
193,494
194,480
195,78
196,70
197,431
198,220
199,448
200,407
201,405
202,251
203,482
204,434
205,417
206,64
207,420
208,471
209,455
210,425
211,110
212,489
213,232
214,488
215,339
216,427
217,445
218,464
219,452
220,93
221,458
222,342
223,109
224,296
225,470
226,462
227,447
228,462
229,311
230,477
231,448
232,423
233,411
234,453
235,497
236,446
237,395
238,413
239,354
240,488
241,398
242,380
243,437
244,390
245,143
246,473
247,491
248,474
249,470
250,447
251,241
252,477
253,368
254,492
255,398
256,495
257,58
258,475
259,191
260,478
261,478
262,299
263,460
264,184
265,434
266,483
267,456
268,498
269,486
270,442
271,390
272,385
273,435
274,464
275,412
276,343
277,348
278,356
279,221
280,410
281,492
282,416
283,103
284,440
285,421
286,441
287,435
288,491
289,497
290,47
291,425
292,471
293,402
294,224
295,459
296,497
297,488
298,495
299,386
300,457
301,28
302,486
303,221
304,378
305,266
306,474
307,451
308,463
309,381
310,70
311,22
312,429
313,82
314,88
315,361
316,85
317,44
318,437
319,245
320,415
321,396
322,332
323,494
324,493
325,495
326,496
327,476
328,369
329,452
330,399
331,200
332,384
333,432
334,469
335,160
336,473
337,410
338,463
339,413
340,436
341,423
342,469
343,412
344,376
345,477
346,462
347,368
348,471
349,369
350,87
351,417
352,495
353,435
354,358
355,478
356,165
357,438
358,456
359,415
360,490
361,435
362,455
363,469
364,63
365,294
366,393
367,232
368,496
369,459
370,450
371,412
372,496
373,224
374,449
375,112
376,492
377,439
378,494
379,403
380,123
381,498
382,428
383,80
384,144
385,461
386,460
387,488
388,480
389,456
390,475
391,438
392,479
393,279
394,437
395,356
396,156
397,441
398,395
399,487
400,460
401,434
402,480
403,443
404,473
405,438
406,423
407,473
408,410
409,435
410,474
411,454
412,474
413,50
414,437
415,182
416,253
417,456
418,449
419,216
420,271
421,447
422,467
423,456
424,473
425,437
426,426
427,442
428,468
429,432
430,235
431,223
432,328
433,228
434,265
435,444
436,399
437,243
438,493
439,83
440,365
441,201
442,330
443,401
444,225
445,442
446,296
447,358
448,424
449,366
450,368
451,468
452,445
453,446
454,426
455,479
456,406
457,232
458,430
459,337
460,128
461,241
462,383
463,316
464,398
465,256
466,385
467,468
468,434
469,255
470,462
471,432
472,448
473,454
474,75
475,494
476,395
477,307
478,285
479,451
480,456
481,332
482,472
483,393
484,108
485,489
486,262
487,461
488,130
489,435
490,493
491,420
492,431
493,479
494,456
495,429
496,447
497,469
498,472
499,330
500,434
501,249
502,384
503,340
504,364
505,473
506,429
507,394
508,290
509,343
510,470
511,481
512,277
513,426
514,200
515,412
516,423
517,456
518,401
519,346
520,178
521,430
522,402
523,431
524,476
525,309
526,240
527,312
528,433
529,408
530,428
531,459
532,205
533,446
534,240
535,493
536,404
537,417
538,45
539,494
540,455
541,393
542,122
543,195
544,454
545,432
546,391
547,464
548,137
549,461
550,490
551,244
552,321
553,434
554,447
555,451
556,107
557,88
558,87
559,400
560,300
561,475
562,434
563,442
564,464
565,313
566,159
567,145
568,437
569,215
570,423
571,398
572,313
573,219
574,495
575,467
576,310
577,476
578,460
579,491
580,470
581,413
582,416
583,221
584,440
585,171
586,345
587,130
588,378
589,473
590,439
591,192
592,384
593,410
594,194
595,191
596,483
597,328
598,237
599,403
600,317
601,451
602,415
603,368
604,476
605,460
606,447
607,466
608,245
609,161
610,189
611,460
612,95
613,450
614,378
615,418
616,343
617,452
618,447
619,402
620,488
621,444
622,487
623,339
624,388
625,414
626,154
627,82
628,283
629,143
630,470
631,317
632,445
633,230
634,357
635,479
636,485
637,178
638,171
639,462
640,425
641,340
642,133
643,409
644,475
645,96
646,278
647,436
648,252
649,449
650,375
651,438
652,380
653,476
654,247
655,441
656,437
657,76
658,396
659,291
660,247
661,328
662,452
663,431
664,421
665,470
666,477
667,458
668,381
669,193
670,204
671,95
672,457
673,419
674,482
675,450
676,330
677,429
678,313
679,281
680,406
681,392
682,446
683,491
684,461
685,366
686,318
687,402
688,267
689,209
690,441
691,464
692,405
693,315
694,419
695,233
696,326
697,463
698,351
699,109
700,410
701,353
702,269
703,177
704,387
705,368
706,392
707,340
708,456
709,412
710,72
711,291
712,471
713,448
714,418
715,482
716,317
717,238
718,287
719,368
720,421
721,452
722,461
723,338
724,275
725,438
726,432
727,436
728,438
729,427
730,409
731,192
732,171
733,401
734,89
735,332
736,470
737,207
738,436
739,441
740,385
