,shares
0,511
1,1200
2,1400
3,1300
4,3200
5,4300
6,2300
7,900
8,1100
9,882
10,2300
11,5800
12,1300
13,985
14,1700
15,5900
16,8000
17,1300
18,1200
19,2100
20,467
21,542
22,447
23,16900
24,3100
25,815
26,693
27,3900
28,26800
29,699
30,1300
31,1600
32,922
33,4000
34,2500
35,770
36,4300
37,811
38,893
39,1900
40,16500
41,1000
42,642
43,792
44,928
45,17400
46,2900
47,918
48,1300
49,819
50,1600
51,498
52,1700
53,15900
54,867
55,407
56,9100
57,1200
58,2500
59,3100
60,20700
61,1800
62,518
63,1600
64,1100
65,50200
66,1700
67,885
68,1200
69,484
70,2100
71,3400
72,1800
73,1700
74,1400
75,1900
76,3300
77,8400
78,1000
79,898
80,318
81,2400
82,1300
83,926
84,5200
85,1700
86,3700
87,860
88,1600
89,2400
90,4700
91,2900
92,12200
93,3100
94,847
95,422
96,1100
97,891
98,1500
99,1300
100,799
101,53700
102,2200
103,1600
104,1200
105,1600
106,10500
107,1700
108,444
109,3900
110,1600
111,1900
112,1100
113,1200
114,533
115,5000
116,3800
117,886
118,1200
119,8500
120,1500
121,45400
122,3600
123,1100
124,1100
125,7600
126,2700
127,1600
128,693
129,1400
130,765
131,2300
132,907
133,3900
134,3200
135,1500
136,510
137,666
138,1500
139,1600
140,4500
141,1600
142,2700
143,399
144,556
145,7200
146,6700
147,2000
148,2300
149,1600
150,773
151,770
152,2500
153,2600
154,1100
155,2100
156,1400
157,1100
158,2600
159,4700
160,1100
161,889
162,6200
163,233
164,1600
165,1200
166,1100
167,1100
168,1300
169,648
170,18900
171,7700
172,3600
173,1500
174,3200
175,6200
176,5200
177,996
178,969
179,1000
180,4300
181,910
182,8200
183,3800
184,731
185,798
186,1100
187,871
188,2900
189,2000
190,154
191,4500
192,774
193,4700
194,1000
195,673
196,1200
197,1300
198,1300
199,5300
200,3800
201,264
202,1400
203,1100
204,2100
205,1400
206,859
207,1100
208,1900
209,553
210,23600
211,693
212,1800
213,846
214,1500
215,510
216,221
217,3700
218,8000
219,1100
220,888
221,1000
222,2400
223,1400
224,6800
225,34800
226,704
227,1600
228,972
229,2000
230,3200
231,1800
232,685
233,1500
234,22000
235,5200
236,4100
237,3400
238,906
239,12700
240,832
241,899
242,585
243,1500
244,733
245,2500
246,952
247,6900
248,1300
249,7900
250,1200
251,1400
252,1200
253,1900
254,751
255,300
256,1800
257,1600
258,693
259,2900
260,6200
261,4300
262,928
263,896
264,1000
265,945
266,2500
267,633
268,2300
269,1700
270,3800
271,1200
272,1400
273,3600
274,4200
275,706
276,2000
277,1400
278,1900
279,2000
280,945
281,850
282,1700
283,832
284,872
285,1600
286,1200
287,1100
288,569
289,12300
290,3100
291,11600
292,874
293,1200
294,984
295,8900
296,2800
297,1500
298,859
299,1300
300,1200
301,1200
302,1300
303,3600
304,1500
305,1400
306,1100
307,1800
308,23000
309,1700
310,579
311,1700
312,1900
313,2100
314,754
315,762
316,21000
317,540
318,964
319,904
320,1800
321,1400
322,178
323,929
324,1300
325,9500
326,1200
327,18000
328,5500
329,827
330,767
331,2900
332,4600
333,2300
334,2000
335,2300
336,3100
337,1200
338,1300
339,695
340,1300
341,112
342,955
343,2300
344,5100
345,640
346,1500
347,994
348,1800
349,2200
350,1900
351,2400
352,4000
353,1000
354,775
355,6500
356,1200
357,4700
358,476
359,1300
360,1000
361,933
362,1500
363,3100
364,1100
365,6500
366,1200
367,832
368,1200
369,975
370,737
371,920
372,20400
373,702
374,527
375,1600
376,123
377,14800
378,1400
379,970
380,2200
381,1400
382,2700
383,1600
384,735
385,593
386,2000
387,2900
388,1300
389,4200
390,1400
391,1200
392,1100
393,2600
394,3800
395,2400
396,1700
397,4700
398,948
399,1800
400,857
401,1300
402,4000
403,4100
404,1500
405,10900
406,1400
407,1700
408,944
409,1400
410,959
411,896
412,4400
413,1700
414,1200
415,475
416,7200
417,2300
418,5200
419,587
420,3800
421,137
422,1600
423,1100
424,1100
425,1200
426,1700
427,6000
428,808
429,2300
430,1400
431,5700
432,15600
433,1300
434,609
435,410
436,1300
437,2400
438,1200
439,818
440,3800
441,1500
442,1700
443,960
444,1800
445,10000
446,2700
447,934
448,1300
449,769
450,801
451,867
452,744
453,901
454,4100
455,441
456,14200
457,1800
458,879
459,1700
460,15200
461,1500
462,1100
463,5800
464,556
465,2100
466,1400
467,972
468,960
469,1200
470,873
471,4900
472,2100
473,1300
474,741
475,1000
476,1800
477,1100
478,1700
479,4400
480,840
481,6000
482,3600
483,530
484,547
485,744
486,867
487,444
488,518
489,5200
490,960
491,6500
492,1400
493,1400
494,1100
495,2000
496,2700
497,3400
498,974
499,731
500,943
501,735
502,4400
503,1000
504,1100
505,7700
506,837
507,6200
508,12700
509,1500
510,54
511,3000
512,1900
513,2600
514,1700
515,4000
516,1200
517,3000
518,6600
519,21000
520,2000
521,1300
522,1300
523,881
524,844
525,2400
526,14100
527,2800
528,601
529,1100
530,536
531,2000
532,1100
533,827
534,757
535,720
536,1200
537,10600
538,5100
539,460
540,3200
541,448
542,3000
543,1600
544,476
545,931
546,1000
547,1100
548,805
549,773
550,1700
551,1900
552,1200
553,792
554,1900
555,1500
556,1400
557,671
558,1500
559,594
560,1400
561,3800
562,1600
563,2700
564,898
565,816
566,1600
567,1400
568,6500
569,3400
570,3600
571,1200
572,1200
573,1400
574,423
575,1300
576,1000
577,842
578,2800
579,523
580,7100
581,4300
582,5200
583,3500
584,818
585,812
586,295
587,6200
588,850
589,17000
590,471
591,1300
592,2000
593,2700
594,3200
595,2300
596,8500
597,680
598,1800
599,3800
600,3700
601,955
602,712
603,1800
604,984
605,2300
606,2100
607,1200
608,4600
609,10400
610,964
611,758
612,745
613,847
614,1400
615,769
616,1500
617,1600
618,5100
619,2700
620,841
621,1800
622,1400
623,2500
624,1700
625,9600
626,918
627,1000
628,2500
629,3300
630,820
631,2400
632,685
633,6800
634,903
635,2600
636,859
637,1100
638,885
639,5100
640,1200
641,2600
642,867
643,2900
644,6000
645,1700
646,2800
647,2800
648,474
649,1900
650,1200
651,1200
652,60300
653,2600
654,2000
655,710
656,15800
657,3700
658,922
659,1800
660,3100
661,987
662,2300
663,1100
664,1300
665,969
666,1300
667,762
668,928
669,1600
670,833
671,1300
672,2500
673,4200
674,1300
675,12800
676,5300
677,1400
678,869
679,1600
680,5400
681,18600
682,2200
683,14800
684,2900
685,2500
686,1200
687,4100
688,4700
689,877
690,4800
691,1100
692,1100
693,3200
694,2400
695,3400
696,56500
697,1800
698,1200
699,1000
700,2800
701,1800
702,2100
703,888
704,16900
705,559
706,1300
707,1000
708,1200
709,676
710,1600
711,1200
712,12200
713,642
714,7400
715,1000
716,5000
717,920
718,8100
719,1100
720,1200
721,3600
722,2800
723,631
724,1100
725,8800
726,8800
727,8600
728,478
729,3100
730,531
731,12000
732,821
733,4600
734,2700
735,1300
736,4700
737,1000
738,53100
739,14400
740,1600
741,1700
742,883
743,2700
744,83300
745,1600
746,1800
747,735
748,1700
749,826
750,830
751,1500
752,1400
753,1200
754,7400
755,3200
756,1700
757,914
758,1700
759,1000
760,1100
761,700
762,3600
763,910
764,2100
765,982
766,3900
767,847
768,755
769,755
770,5500
771,2300
772,11800
773,1700
774,3600
775,1200
776,4800
777,39900
778,1200
779,622
780,698
781,615
782,594
783,1300
784,1700
785,3100
786,788
787,16700
788,1800
789,1000
790,2200
791,4500
792,887
793,8600
794,941
795,939
796,6700
797,3300
798,1400
799,3500
800,7700
801,1200
802,1100
803,1600
804,1400
805,1400
806,1700
807,2600
808,2200
809,2700
810,25100
811,429
812,707
813,984
814,509
815,941
816,5700
817,11400
818,1000
819,1300
820,1100
821,145500
822,1400
823,963
824,11300
825,783
826,2100
827,1300
828,2500
829,9200
830,872
831,762
832,6500
833,778
834,2100
835,1100
836,1700
837,2900
838,1100
839,942
840,804
841,725
842,1400
843,2400
844,762
845,747
846,524
847,3200
848,1100
849,906
850,2000
851,20300
852,1200
853,5600
854,1200
855,1100
856,3400
857,571
858,766
859,337
860,779
861,471
862,3500
863,1000
864,477
865,1900
866,3800
867,1500
868,1200
869,2700
870,528
871,780
872,629
873,3900
874,1000
875,5400
876,1600
877,1500
878,1600
879,729
880,6000
881,10200
882,2600
883,777
884,1200
885,1800
886,1600
887,4900
888,2400
889,4100
890,2100
891,1200
892,4600
893,3000
894,2300
895,1100
896,1200
897,13800
898,1700
899,937
900,1200
901,1300
902,6200
903,6900
904,814
905,1400
906,1400
907,4900
908,2000
909,1100
910,1600
911,982
912,5500
913,4100
914,1200
915,842
916,4600
917,1900
918,993
919,922
920,3100
921,1900
922,936
923,8500
924,3700
925,936
926,1800
927,991
928,2800
929,1300
930,1800
931,5000
932,522
933,2900
934,847
935,1100
936,856
937,7400
938,1100
939,5700
940,53100
941,1300
942,1100
943,2600
944,1100
945,541
946,731
947,1900
948,200
949,879
950,1500
951,1500
952,1600
953,3100
954,759
955,2200
956,1900
957,587
958,1800
959,567
960,5400
961,7900
962,577
963,1700
964,3400
965,636
966,3600
967,769
968,954
969,6700
970,1100
971,6000
972,976
973,2900
974,1100
975,4500
976,924
977,986
978,770
979,6700
980,885
981,898
982,1100
983,800
984,1100
985,1100
986,683
987,778
988,2900
989,751
990,1200
991,602
992,10700
993,676
994,1500
995,7600
996,4700
997,818
998,2400
999,4100
1000,5200
1001,558
1002,756
1003,1000
1004,3500
1005,1300
1006,1000
1007,1600
1008,5300
1009,1400
1010,655
1011,1800
1012,2400
1013,2400
1014,1100
1015,714
1016,1800
1017,3600
1018,11400
1019,1100
1020,5300
1021,893
1022,720
1023,1600
1024,1200
1025,2400
1026,699
1027,1500
1028,236
1029,920
1030,784
1031,989
1032,1100
1033,3200
1034,851
1035,2500
1036,478
1037,1200
1038,1400
1039,1700
1040,848
1041,1100
1042,3100
1043,23700
1044,1500
1045,3000
1046,4700
1047,2300
1048,1700
1049,1100
1050,2100
1051,2800
1052,972
1053,8000
1054,1400
1055,4400
1056,2200
1057,807
1058,1100
1059,1000
1060,1100
1061,1200
1062,1500
1063,815
1064,1600
1065,3200
1066,1800
1067,881
1068,989
1069,943
1070,590
1071,812
1072,786
1073,834
1074,1900
1075,10900
1076,1100
1077,5400
1078,2500
1079,7100
1080,977
1081,1600
1082,10600
1083,544
1084,1000
1085,856
1086,553
1087,800
1088,18400
1089,14300
1090,6100
1091,1400
1092,4600
1093,556
1094,2200
1095,6600
1096,2500
1097,6500
1098,1200
1099,13000
1100,1200
1101,3500
1102,771
1103,532
1104,8600
1105,1300
1106,7900
1107,936
1108,1000
1109,2000
1110,922
1111,1500
1112,10100
1113,2200
1114,1600
1115,7500
1116,1100
1117,894
1118,1300
1119,1200
1120,1200
1121,2000
1122,20700
1123,2400
1124,1200
1125,7800
1126,3900
1127,2500
1128,818
1129,9200
1130,1200
1131,1500
1132,766
1133,1700
1134,34700
1135,766
1136,10100
1137,4500
1138,1500
1139,1400
1140,2600
1141,801
1142,1100
1143,724
1144,6600
1145,1000
1146,678
1147,817
1148,135
1149,98700
1150,1100
1151,1000
1152,2900
1153,903
1154,656
1155,3000
1156,457
1157,1000
1158,1100
1159,691
1160,1300
1161,3700
1162,3500
1163,8300
1164,16800
1165,14900
1166,1100
1167,648
1168,1600
1169,7000
1170,3200
1171,890
1172,5600
1173,5900
1174,500
1175,1900
1176,1000
1177,605
1178,10200
1179,3600
1180,25500
1181,4800
1182,638
1183,1800
1184,1000
1185,809
1186,4900
1187,3000
1188,1700
1189,2800
1190,707
1191,2800
1192,577
1193,2700
1194,720
1195,957
1196,5700
1197,934
1198,1200
1199,1000
1200,11800
1201,1900
1202,1900
1203,3300
1204,761
1205,1300
1206,11800
1207,859
1208,823
1209,11800
1210,54700
1211,737
1212,841
1213,4400
1214,697
1215,4200
1216,2900
1217,1900
1218,3800
1219,511
1220,935
1221,8100
1222,1100
1223,2000
1224,1400
1225,8600
1226,1200
1227,1000
1228,3000
1229,3600
1230,945
1231,526
1232,867
1233,970
1234,1900
1235,845
1236,862
1237,1600
1238,882
1239,1500
1240,543
1241,562
1242,3000
1243,1700
1244,4400
1245,855
1246,886
1247,68300
1248,698
1249,857
1250,1300
1251,513
1252,1000
1253,1600
1254,3700
1255,1200
1256,1100
1257,3300
1258,4100
1259,798
1260,1500
1261,3400
1262,3300
1263,1200
1264,1400
1265,913
1266,1900
1267,3100
1268,1400
1269,3500
1270,802
1271,2100
1272,1300
1273,928
1274,1200
1275,856
1276,4300
1277,995
1278,497
1279,865
1280,1300
1281,1400
1282,4200
1283,2400
1284,4900
1285,608
1286,644
1287,3400
1288,2300
1289,1300
1290,2100
1291,3600
1292,802
1293,1400
1294,8300
1295,853
1296,843
1297,2100
1298,792
1299,3200
1300,9000
1301,692
1302,813
1303,4200
1304,3000
1305,713
1306,8100
1307,721
1308,1300
1309,2400
1310,744
1311,7600
1312,2400
1313,688
1314,2200
1315,4100
1316,2700
1317,5700
1318,3500
1319,3600
1320,1700
1321,3000
1322,2200
1323,1600
1324,1300
1325,402
1326,1300
1327,4900
1328,5300
1329,1500
1330,2700
1331,2600
1332,2100
1333,582
1334,12400
1335,3300
1336,1200
1337,10000
1338,880
1339,1300
1340,2000
1341,805
1342,682
1343,495
1344,1600
1345,585
1346,208300
1347,6200
1348,1100
1349,1100
1350,875
1351,14700
1352,1200
1353,1000
1354,733
1355,6300
1356,469
1357,961
1358,1100
1359,844
1360,2400
1361,1100
1362,995
1363,2700
1364,3000
1365,720
1366,661
1367,1500
1368,699
1369,771
1370,1600
1371,13800
1372,589
1373,718
1374,374
1375,2300
1376,3100
1377,3000
1378,732
1379,981
1380,830
1381,4400
1382,618
1383,1900
1384,1300
1385,2000
1386,11400
1387,5600
1388,1400
1389,6400
1390,8400
1391,1200
1392,998
1393,988
1394,1800
1395,988
1396,988
1397,3300
1398,1100
1399,12900
1400,2700
1401,2200
1402,2400
1403,663
1404,1600
1405,750
1406,474
1407,787
1408,2400
1409,2400
1410,15200
1411,1200
1412,5000
1413,782
1414,1400
1415,2200
1416,1300
1417,473
1418,3100
1419,1500
1420,756
1421,8500
1422,475
1423,800
1424,2800
1425,2000
1426,358
1427,35
1428,1400
1429,1500
1430,1100
1431,508
1432,7700
1433,5700
1434,3100
1435,1400
1436,4700
1437,2200
1438,1500
1439,471
1440,12300
1441,1700
1442,3200
1443,1400
1444,4200
1445,2000
1446,843
1447,1500
1448,808
1449,12700
1450,949
1451,752
1452,1600
1453,3100
1454,1500
1455,852
1456,4200
1457,2500
1458,714
1459,2600
1460,2300
1461,5800
1462,1200
1463,787
1464,6300
1465,2000
1466,1100
1467,3400
1468,787
1469,763
1470,527
1471,1600
1472,8200
1473,595
1474,2300
1475,741
1476,4200
1477,785
1478,1100
1479,763
1480,1000
1481,2000
1482,7800
1483,3400
1484,75600
1485,707
1486,725
1487,1000
1488,1300
1489,1400
1490,2200
1491,449
1492,899
1493,431
1494,1400
1495,873
1496,796
1497,3100
1498,807
1499,2800
1500,1300
1501,9800
1502,1200
1503,4100
1504,1900
1505,798
1506,8100
1507,2400
1508,1200
1509,4200
1510,1000
1511,1400
1512,8700
1513,1000
1514,558
1515,960
1516,1800
1517,999
1518,1700
1519,620
1520,6600
1521,2600
1522,826
1523,2300
1524,1800
1525,1900
1526,867
1527,6600
1528,1600
1529,1700
1530,2000
1531,7400
1532,635
1533,1600
1534,2100
1535,3000
1536,7700
1537,2000
1538,1000
1539,2700
1540,1300
1541,1200
1542,2100
1543,906
1544,1000
1545,1100
1546,878
1547,7800
1548,3900
1549,36
1550,1500
1551,1500
1552,21400
1553,990
1554,2300
