,shares
0,1100
1,4900
2,919
3,1500
4,527
5,6200
6,975
7,1200
8,536
9,7900
10,820
11,1400
12,484
13,728
14,832
15,1700
16,3800
17,407
18,2200
19,1300
20,3100
21,4700
22,642
23,5300
24,848
25,2600
26,1300
27,3300
28,2500
29,5900
30,1100
31,8100
32,154
33,1500
34,6500
35,8800
36,804
37,1100
38,3600
39,1300
40,1200
41,668
42,994
43,17300
44,1400
45,908
46,1900
47,1100
48,955
49,444
50,960
51,1400
52,3800
53,4900
54,982
55,885
56,3200
57,1500
58,41600
59,1900
60,2100
61,807
62,467
63,233
64,3800
65,2800
66,1200
67,961
68,1400
69,1200
70,498
71,1200
72,556
73,810
74,873
75,1400
76,936
77,600
78,3600
79,945
80,1500
81,1000
82,3600
83,11000
84,1400
85,1600
86,856
87,859
88,922
89,967
90,4900
91,918
92,1200
93,1100
94,5200
95,827
96,10100
97,6300
98,1200
99,2500
100,945
101,940
102,3500
103,1600
104,1800
105,943
106,1200
107,15700
108,620
109,1000
110,1200
111,3400
112,899
113,881
114,905
115,720
116,422
117,1600
118,2700
119,1200
120,1100
121,318
122,633
123,475
124,1600
125,1500
126,16600
127,264
128,2000
129,221
130,2100
131,3400
132,1400
133,2200
134,3400
135,6700
136,6600
137,2000
138,2300
139,2600
140,42500
141,2600
142,1600
143,920
144,3200
145,3600
146,883
147,26600
148,1700
149,893
150,1200
151,964
152,17300
153,13100
154,1200
155,685
156,498
157,16100
158,778
159,526
160,2600
161,757
162,2600
163,1600
164,1700
165,1300
166,4000
167,3200
168,775
169,3800
170,1100
171,1900
172,1700
173,2500
174,585
175,2800
176,1100
177,1200
178,696
179,1600
180,3000
181,2100
182,1100
183,1800
184,900
185,3400
186,1200
187,1200
188,1300
189,4300
190,5400
191,447
192,3100
193,1600
194,532
195,859
196,3800
197,1400
198,932
199,2200
200,972
201,1700
202,1800
203,4700
204,25500
205,7300
206,1100
207,983
208,3600
209,1400
210,5500
211,1200
212,1900
213,1700
214,1100
215,859
216,2700
217,3200
218,16300
219,1200
220,25000
221,410
222,4400
223,11400
224,2400
225,7900
226,3300
227,7300
228,774
229,2300
230,1700
231,4900
232,1600
233,707
234,2000
235,1600
236,1600
237,1700
238,847
239,1300
240,762
241,1500
242,766
243,10300
244,5000
245,2900
246,713
247,830
248,1300
249,800
250,2200
251,1300
252,8900
253,863
254,2800
255,3200
256,948
257,3200
258,856
259,2500
260,559
261,1100
262,1200
263,2200
264,944
265,729
266,10600
267,11200
268,3000
269,865
270,10400
271,8700
272,838
273,1900
274,3800
275,826
276,32500
277,21700
278,1300
279,21800
280,1100
281,1700
282,625
283,1200
284,906
285,2300
286,550
287,4200
288,8700
289,1700
290,754
291,944
292,2400
293,6100
294,3400
295,3400
296,619
297,1000
298,4100
299,300
300,2700
301,9800
302,2200
303,562
304,14900
305,806
306,3800
307,509
308,4700
309,1600
310,5800
311,2200
312,1000
313,513
314,2900
315,3100
316,3200
317,5500
318,890
319,1200
320,959
321,1900
322,2000
323,1300
324,1300
325,1300
326,1400
327,5100
328,936
329,2000
330,1600
331,1600
332,2700
333,1800
334,6600
335,2900
336,1000
337,6700
338,1800
339,792
340,889
341,7800
342,178
343,1200
344,1100
345,399
346,1300
347,1600
348,2300
349,1400
350,3800
351,1100
352,826
353,2500
354,1200
355,1000
356,556
357,773
358,3600
359,112
360,987
361,961
362,1700
363,6600
364,1100
365,1900
366,3200
367,556
368,1900
369,4400
370,770
371,1300
372,11800
373,3200
374,6200
375,764
376,1200
377,12700
378,1400
379,476
380,708
381,4200
382,3300
383,746
384,524
385,908
386,1400
387,1400
388,17200
389,703
390,4400
391,1000
392,1400
393,1300
394,2000
395,2000
396,762
397,783
398,2000
399,1300
400,123
401,2200
402,4100
403,1200
404,645
405,1900
406,9700
407,1100
408,2200
409,3300
410,881
411,1200
412,417
413,750
414,1900
415,529
416,1800
417,2300
418,1600
419,14700
420,1300
421,786
422,10400
423,955
424,1500
425,1400
426,918
427,533
428,609
429,1300
430,1200
431,989
432,1800
433,1900
434,774
435,928
436,3200
437,707
438,676
439,1000
440,3700
441,137
442,3500
443,737
444,12900
445,3200
446,13700
447,518
448,877
449,53200
450,1200
451,935
452,4300
453,698
454,1900
455,1200
456,2800
457,14000
458,762
459,1800
460,3000
461,441
462,4600
463,5000
464,2500
465,5200
466,5000
467,5100
468,2100
469,1000
470,1600
471,718
472,815
473,2700
474,1000
475,2900
476,2100
477,6100
478,1900
479,970
480,5500
481,1000
482,703
483,778
484,1400
485,10100
486,4600
487,1400
488,516
489,1200
490,896
491,1500
492,957
493,1500
494,1500
495,3800
496,444
497,770
498,1100
499,846
500,1000
501,1600
502,3500
503,3100
504,1000
505,1900
506,1200
507,867
508,13200
509,863
510,535
511,679
512,1600
513,6200
514,2100
515,1500
516,885
517,7000
518,42300
519,1500
520,54
521,1200
522,1500
523,2100
524,945
525,1200
526,1300
527,2300
528,807
529,960
530,1400
531,1100
532,1500
533,1500
534,813
535,1800
536,1700
537,1100
538,2800
539,1400
540,1100
541,23000
542,631
543,921
544,755
545,3100
546,460
547,1000
548,448
549,3600
550,3800
551,476
552,818
553,29300
554,1400
555,1100
556,2700
557,1300
558,644
559,1900
560,876
561,717
562,594
563,6800
564,1100
565,9500
566,3900
567,4100
568,10500
569,1300
570,821
571,3900
572,4100
573,1400
574,1100
575,1900
576,2800
577,423
578,1200
579,1100
580,5800
581,4300
582,2300
583,7700
584,3000
585,1500
586,3200
587,1600
588,295
589,1200
590,1200
591,471
592,698
593,1300
594,1200
595,685
596,737
597,695
598,3600
599,2200
600,14500
601,1000
602,2100
603,4200
604,3300
605,604
606,4600
607,2400
608,1700
609,2000
610,791
611,3700
612,860
613,1200
614,3300
615,683
616,3000
617,779
618,752
619,872
620,3000
621,1600
622,1400
623,1300
624,751
625,1500
626,1100
627,955
628,25700
629,4000
630,2200
631,1900
632,1100
633,1700
634,1900
635,1100
636,674
637,4400
638,5100
639,1900
640,976
641,1200
642,1700
643,727
644,474
645,4400
646,1200
647,6300
648,3500
649,738
650,3200
651,34100
652,3700
653,634
654,1600
655,3800
656,9700
657,1300
658,1000
659,1400
660,1300
661,1500
662,1200
