,shares
7902,1100
219,4900
13964,919
12710,1500
18868,527
7182,6200
6245,975
5985,1200
12569,536
12066,7900
9578,622
11461,820
17531,1400
17859,484
6749,728
15327,832
1000,1700
8590,3800
17937,407
2433,2200
19283,1300
11243,3100
4748,4700
2196,642
9728,5300
4174,848
7063,2600
9169,1300
4457,3300
12390,2500
16191,5900
17187,1100
4887,5000
19447,1200
15543,8100
10798,154
11691,1500
5516,6500
1316,8800
3122,804
5920,797
5473,928
3465,1100
13061,3600
5830,1300
661,1600
17004,1200
17689,668
9156,994
10905,17300
14809,1400
16591,2600
13187,798
655,908
16939,1900
14453,1100
12268,955
4476,444
8587,1300
13778,960
15859,1400
565,3800
16852,4900
10118,982
16618,885
19153,3200
10404,1500
13793,41600
4442,1900
10039,2100
8879,807
13000,467
15661,233
8446,3800
9989,2800
15463,1000
16041,1200
11602,961
17186,1400
10180,1200
14305,498
2240,1200
6600,556
11489,2900
12009,1100
16933,810
11417,873
281,1400
7135,936
5948,600
9984,3600
5912,945
18995,1500
15607,1000
9366,3600
9158,11000
4826,1400
16555,1600
12712,856
11008,859
15885,1500
3987,922
4005,967
7075,4900
11088,918
1615,1500
19776,10200
1468,1200
7716,1100
963,5200
18918,827
2290,10100
13448,519
8268,6300
2539,1200
13923,2500
7377,945
599,940
6827,3500
15298,1600
9575,1800
2621,943
1739,1200
671,15700
2499,620
18408,1000
7877,1200
17151,3400
3550,899
12405,881
17081,905
4918,720
18961,422
15757,1600
4594,2700
16859,1200
17161,1100
13499,318
5533,633
15389,475
19184,1600
432,1500
10512,16600
8639,264
6174,2000
17452,2200
7737,221
19141,2100
2747,3400
1319,1400
1534,2200
19382,3400
13763,6700
1306,6600
7073,2000
14684,2300
1236,2600
4048,42500
18124,2600
2786,1600
4611,920
19112,3200
5978,1900
1018,3600
5028,883
12112,26600
757,1700
10093,893
13819,1200
8617,964
2337,17300
17354,13100
12267,1200
2288,685
11123,4000
5132,498
2027,16100
2663,2400
15670,778
8163,526
705,5100
13407,2600
2828,757
4809,1100
17746,2600
2189,1600
14029,1700
14359,1300
2014,4000
10538,3200
4247,775
10910,3800
6623,1100
15149,1900
10006,930
6347,1700
56,2500
2348,585
16306,1200
1148,2800
13930,1100
16610,1200
18833,696
8731,1600
6775,3000
14184,2100
14987,1100
4179,1400
4722,1800
5091,900
14900,3400
3272,1300
17137,1200
364,1200
8167,3900
13370,1300
912,1600
2311,4300
10770,5400
5693,447
3832,3100
5987,1600
1114,532
10605,859
14818,3800
9665,1400
10814,932
19290,2200
19722,972
617,1700
15700,954
19612,1800
13850,1400
10701,4700
8958,25500
13931,7100
15290,7300
7379,1100
13063,2800
5602,983
1106,1200
14893,3600
6398,1400
5074,5500
17242,1200
15432,1900
14047,958
18353,1700
13895,1100
1034,859
11499,2700
3690,3200
14400,16300
11680,1200
15418,25000
19752,3200
4755,410
74,4400
1309,1400
17622,11400
15295,2400
4503,7900
11251,3300
15546,7300
16402,774
15618,2300
3944,1700
9562,4900
2188,1600
19618,707
789,2000
5472,1600
12367,1600
1300,1100
14789,1900
19315,1700
13449,847
14579,1300
4115,762
3515,1500
10655,766
19381,10300
4131,5000
16178,2900
19358,713
8842,830
3333,1300
1681,800
15660,2200
856,1200
15949,1300
13823,8900
12947,863
1661,2800
17399,3200
6847,948
10749,3200
18533,856
10377,2500
3208,559
18311,1100
6385,780
16422,1200
3534,2200
16925,944
15357,729
12596,10600
14803,11200
14884,1300
130,3000
592,1400
1378,1600
19287,865
9751,10400
17268,8700
2563,838
3299,1000
18395,1900
12983,3800
3130,826
1471,32500
2781,21700
18010,726
3399,1300
5502,5100
776,21800
18317,1100
18872,1700
14143,625
2738,1200
8885,906
5337,2300
4166,550
3157,4200
12141,8700
14785,1700
12871,754
3493,944
2103,2400
19557,6100
4799,3400
17680,3400
18387,619
18582,1000
11383,4100
186,300
1129,2700
3640,9800
14002,2200
5957,562
17270,14900
11764,806
10873,4500
9062,736
670,707
14313,5200
17645,3800
15814,509
2985,4700
15614,1600
12431,5800
871,2200
5848,1000
8322,513
2110,2900
3237,3100
9547,3200
14181,5500
13281,890
4464,1200
8555,959
12961,1900
2207,2000
17362,851
14885,1300
3081,1300
13601,1300
11040,1400
10877,853
10428,4500
16353,991
15465,1700
1838,5100
13226,936
1367,2000
5254,1600
9791,1600
11668,522
11622,726
11832,2700
5290,1800
4802,6600
15803,1600
10283,2900
19380,3400
3778,758
7928,1000
9606,6700
8320,1800
18708,792
11856,889
4602,7800
17945,178
10149,1200
5002,1100
17114,399
3715,1600
13097,1300
18131,1600
5278,664
15323,2300
17385,1400
4486,5500
17940,3800
17376,1100
4377,826
1318,2000
366,2500
10519,1200
17315,1000
13188,556
8309,773
16431,3600
17506,112
15994,987
15464,961
10508,1700
12037,875
16888,725
11546,6600
8706,1100
15096,1900
446,3200
15224,556
16434,1900
18808,4400
18392,770
10360,1300
17006,11800
19316,3200
13123,6200
17301,764
13136,1200
14333,12700
12369,1400
14852,1400
19425,476
15430,660
7643,708
12646,4400
4990,4200
2232,3300
14201,746
18117,524
2018,908
15641,1400
8308,689
15802,1400
7628,17200
9959,703
16329,4400
7612,1000
12701,1400
13055,1300
7953,2000
11448,2000
8040,762
6990,783
16039,2000
13679,1700
14863,1300
5387,123
5068,2200
13311,1400
7243,4100
2345,1200
2591,645
7419,1900
14463,798
17166,9700
17838,1100
9509,3800
17419,2200
6170,1300
5284,3300
15163,881
1557,1200
210,417
19766,750
17139,1900
15815,529
8692,1800
13111,2300
2053,1600
9692,14700
14977,752
7114,1300
13743,786
6694,10400
7240,955
17288,1500
18906,4000
13146,1400
5120,918
2540,533
534,609
2107,1300
16820,1200
15874,989
15198,1800
5923,1900
11606,1600
13945,540
5821,839
15195,774
15975,928
14929,2000
15444,3200
2656,707
2558,1400
10352,676
19725,1700
16232,1000
18524,3700
2596,137
18686,1400
3946,3500
9345,737
11718,12900
5157,3200
5025,13700
973,518
9131,2200
18617,877
9904,53200
9593,1200
17758,935
11117,4300
16433,698
11712,1900
10082,1200
7421,2800
2699,14000
14244,762
12993,1800
6553,3000
8047,441
7555,4600
16386,5000
7551,2500
6904,5200
449,1200
224,5000
17726,5100
18491,2100
7433,1000
19515,1600
16964,1400
11811,1800
8579,718
9876,815
17391,2700
11529,1000
19514,2900
18141,815
7666,2100
11914,6100
5591,1900
17115,970
13860,5500
15471,1000
5709,703
5152,778
18889,1400
11827,10100
4874,4600
14912,1400
3065,516
17073,1200
221,896
14230,1500
17033,957
8162,1400
10876,1500
3070,1500
13196,3800
5339,444
4718,770
2618,1100
10168,846
3180,1000
6666,1600
5149,3500
6840,3100
7232,1000
8608,1500
10937,1900
13284,1200
7951,867
7527,13200
12934,863
16664,535
18321,679
12511,1600
2984,6200
6323,2100
5394,1500
1777,885
7568,7000
17445,42300
14376,1500
14584,54
10223,1200
586,1500
17605,2100
1529,945
4529,1200
16932,1400
7623,1200
1253,1400
16018,1300
15165,2300
6475,807
18809,960
13149,1400
10164,1100
3159,1500
9194,1500
17310,1400
9816,2800
19275,813
16026,1800
11822,1700
9798,660
6585,1100
1669,2800
18417,1400
5986,1100
10687,1200
9711,23000
18510,631
2059,1400
8315,921
7301,755
18047,3100
19354,460
15841,1000
16308,448
487,3600
10685,3800
13820,476
6822,818
14673,5400
5635,29300
18654,1400
12438,1100
2119,2700
2149,1300
769,644
16526,1900
15926,3800
19347,876
11592,717
18412,594
15616,6800
1943,1100
6706,9500
15898,3900
3238,4300
18986,553
3411,4100
16978,9000
6684,10500
6920,1300
3385,821
10981,3900
13771,4100
2966,1400
12172,2100
13042,1100
7480,1200
13868,1900
15302,1900
14030,2800
9864,2900
2995,423
9128,1200
16907,1100
5463,5800
8119,1500
11199,4300
941,2300
9286,3100
15889,7700
13279,3000
1184,1500
19221,1500
15766,3200
13736,1600
7521,295
9032,1200
4256,1200
17340,2700
4775,471
6924,698
4651,1300
8460,1200
10977,685
11108,737
11898,1300
7474,695
2474,781
4812,1800
6114,3600
12604,2200
14108,14500
17959,1000
6965,1900
15182,1700
8385,1200
15413,821
8906,4800
9056,2100
2614,4200
5842,3300
3136,1200
2892,604
1734,4600
15153,1500
1078,2400
6321,1700
15821,2000
4172,791
2885,3700
13360,860
8727,1200
13650,3300
7481,683
6978,3000
3658,779
15817,752
286,872
17860,3000
15422,1600
10302,1400
4368,1300
17355,751
15573,1500
2534,1100
11301,955
18391,25700
5012,4000
7510,2200
10148,1900
11136,1100
1365,1700
14479,1900
9570,1100
4929,674
5527,4400
2092,5100
4223,1900
7927,976
15081,1200
11335,629
19413,1700
5862,650
4244,727
2904,5100
17481,474
15647,4400
8743,1200
1072,919
17509,6300
16630,3500
4514,738
6602,3200
8352,34100
19654,976
8419,3700
2192,634
6672,1600
18529,3800
17567,9700
1898,1300
10004,1000
4896,1400
608,1300
7280,1500
2643,1200
17596,5700
18562,4100
12727,1200
6567,1200
17395,1600
11206,3800
12831,22500
16750,11200
10313,812
7253,3100
5556,769
11861,1500
10764,6600
7731,4100
15276,1100
1467,655
10967,3500
19084,1200
11842,10100
87,1100
5129,1200
15665,1300
15656,5800
16047,1600
16605,5000
12451,642
18857,1200
9610,4500
5664,922
11951,1400
8730,3900
8354,1600
3410,1400
161,1100
4842,1600
8890,2500
17694,8800
13900,1600
17666,1600
3302,3000
4000,3300
5366,871
11303,2100
19328,4600
3899,1700
10128,1600
9505,1100
16646,772
14442,2400
1098,4600
1357,669
19768,874
8971,1400
10559,1200
12597,823
11511,964
13354,744
8122,12200
4983,3200
15101,2000
4956,6400
11938,2700
401,1100
4639,1400
15082,1700
11212,2300
3187,11000
3056,1900
17211,1400
4712,1100
18931,653
14804,3000
9549,2100
9267,1300
18327,907
17070,478
15384,1200
3707,3100
14942,708
4310,679
9354,1800
6762,4100
3463,1000
4559,2000
7359,703
2388,1200
4307,725
2842,1400
1214,26300
11977,1200
3575,5400
14589,1400
113,11400
2159,2300
13952,1900
4081,10400
6621,1800
3562,771
17174,1700
385,1400
11110,3400
2256,1400
15055,868
8154,1600
2262,1600
14842,1600
2344,1300
13444,697
19279,3500
15551,11300
10045,3600
9462,47300
10598,528
11159,1100
118,1900
19726,1000
12524,3000
10817,706
3777,952
2055,518
8199,59100
9524,6400
19125,813
8691,25500
7821,1400
16243,1700
11412,1100
16775,1700
12709,3800
4104,59400
16141,1700
6204,4200
6563,2500
1261,859
9326,1800
15248,527
12992,890
12673,1100
17302,41900
12941,4100
17087,1300
18447,1200
5733,4000
8989,1700
12100,1800
7122,945
5550,1200
6926,972
17101,1100
4473,934
11188,1300
1963,1100
15561,2100
8112,1300
7550,894
4814,2300
5189,934
16540,1500
1801,1500
1287,9300
15617,1000
10378,869
16016,2200
1896,558
5321,1500
4061,2200
6806,429
1863,1100
11491,1400
14638,994
8044,1500
13572,2100
17581,12200
18139,705
13884,3200
11636,7400
4916,1100
16024,832
2603,2800
1895,21400
19022,6000
18530,1200
5977,594
1611,615
2939,14400
6811,13100
2525,761
9611,2100
8321,755
1458,788
17905,1500
14460,2700
14271,4500
10932,1500
18513,1700
18620,3600
497,2300
17936,1800
2261,4300
485,1300
8994,5800
4840,2900
4371,524
5121,5400
6545,10300
11750,2100
7835,4600
17312,16700
10187,4500
13478,901
5460,1400
16558,13600
10692,655
27,750
2390,2000
11385,2500
17339,1800
18049,337
14765,873
18820,1200
18965,471
18895,1000
13673,1200
7600,477
873,904
17832,916
17681,846
10007,3500
16089,4000
4446,844
16836,8700
8512,780
18700,1600
16461,2800
9472,1300
14883,1200
14532,1000
12029,1800
13538,1400
10766,1200
13209,32200
1138,2100
14441,1400
14907,2500
6854,1000
12255,777
7918,2600
15692,1000
16314,1600
11628,1200
3182,1100
4547,1200
2890,6600
11791,9300
17978,1600
13949,3600
6100,720
11554,5500
16588,1300
14240,978
10229,1600
18880,1300
18977,595
5851,787
15770,1900
14985,724
2130,1600
4261,2000
14507,1800
10793,1600
6689,1900
19694,3100
18746,1000
10623,1300
10494,985
16470,963
18812,2400
12737,8500
7501,874
3537,2100
4754,2100
18891,4000
4819,48800
14649,1900
8054,2900
17249,2700
4188,9200
19412,4500
11747,787
15375,4000
10122,845
3521,7200
6703,1100
18354,3200
13435,858
14724,1400
2081,1200
14825,2900
13175,720
5202,1100
9895,1600
5578,1100
15667,1500
6929,2200
18290,7100
1842,38800
9664,989
13434,862
18877,2500
3041,1100
13511,1000
6459,200
19434,879
18996,1100
10969,1100
6732,1600
4170,1400
13678,592
1493,9900
17190,969
12098,2100
18560,722
18378,699
17668,2600
1383,1300
10562,749
3656,1400
19794,818
5310,1800
17415,1200
8960,7900
1112,1700
301,4200
16457,1600
1593,3400
13892,756
11463,2300
5734,1300
9440,779
9245,928
6008,1800
7323,1400
18269,4200
8722,912
8263,593
10457,540
16684,3300
4877,3100
16912,511
2163,1300
3077,848
15138,5200
2734,12900
18749,878
3960,15700
14074,3900
13300,698
8826,1200
11420,1100
14889,2800
11870,3700
17110,800
5235,891
14236,1300
6290,1500
4189,1500
1673,639
3281,2700
3932,16800
17420,8100
12377,18100
8089,834
18521,1200
8813,1400
992,963
18496,655
16495,1500
14703,1800
2926,1400
7251,926
6302,868
16286,2700
19257,5300
8600,1300
16786,792
8283,1100
